id,year,upt
53,1991,239339999
53,1992,238714296
53,1993,230322293
53,1994,220273665
53,1995,216408165
53,1996,214468798
53,1997,217630901
53,1998,219508042
53,1999,217050460
53,2000,226182200
53,2001,235077521
53,2002,233015643
53,2003,215594583
53,2004,215743701
53,2005,216918351
53,2006,210848310
53,2007,206458675
53,2008,221213458
53,2009,227130300
53,2010,217021010
53,2011,214652993
53,2012,222936607
53,2013,223851332
53,2014,228748481
53,2015,220119336
53,2016,232827475
53,2017,226261960
54,1991,78159967
54,1992,79399725
54,1993,80587785
54,1994,79869830
54,1995,78673609
54,1996,79401304
54,1997,83011793
54,1998,80917759
54,1999,86299471
54,2000,90974498
54,2001,103919441
54,2002,97146074
54,2003,93591365
54,2004,97545611
54,2005,99296028
54,2006,103654118
54,2007,109219470
54,2008,115227684
54,2009,114654578
54,2010,108297950
54,2011,111099037
54,2012,118674764
54,2013,126546495
54,2014,125784207
54,2015,135240559
54,2016,137658212
54,2017,132802066
55,1991,65486049
55,1992,69682121
55,1993,61195378
55,1994,62754904
55,1995,61943391
55,1996,64156526
55,1997,63054878
55,1998,63465316
55,1999,65897176
55,2000,67632612
55,2001,70808702
55,2002,69085074
55,2003,62292979
55,2004,64663431
55,2005,64600740
55,2006,66962680
55,2007,67414737
55,2008,65856350
55,2009,61154791
55,2010,62101688
55,2011,58085889
55,2012,54396776
55,2013,55951572
55,2014,56765039
55,2015,56020660
55,2016,54575655
55,2017,53416004
56,1991,6111651
56,1992,6058155
56,1993,5745654
56,1994,5607168
56,1995,5539133
56,1996,6127072
56,1997,7040034
56,1998,8632319
56,1999,8621841
56,2000,8735022
56,2001,9925201
56,2002,8137583
56,2003,7869796
56,2004,7780606
56,2005,9184511
56,2006,10135247
56,2007,11608349
56,2008,12341090
56,2009,12923502
56,2010,12009226
56,2011,14046588
56,2012,14873378
56,2013,17269328
56,2014,18701904
56,2015,19787123
56,2016,19083987
56,2017,19267022
57,1991,19206079
57,1992,19640260
57,1993,19306555
57,1994,19708699
57,1995,19674924
57,1996,19105421
57,1997,18652256
57,1998,19172928
57,1999,18017544
57,2000,17925254
57,2001,18135757
57,2002,17386835
57,2003,16858718
57,2004,15450639
57,2005,14868608
57,2006,15016685
57,2007,15210104
57,2008,15530635
57,2009,15881212
57,2010,14742600
57,2011,14007441
57,2012,13422728
57,2013,13040485
57,2014,13562255
57,2015,13796204
57,2016,13530765
57,2017,12550962
58,1991,10802638
58,1992,10968364
58,1993,10778680
58,1994,10575988
58,1995,10657363
58,1996,11598476
58,1997,12129279
58,1998,12240868
58,1999,13037927
58,2000,13483641
58,2001,13596533
58,2002,12644618
58,2003,12067128
58,2004,11380811
58,2005,11075585
58,2006,11190575
58,2007,11187240
58,2008,11461313
58,2009,11229607
58,2010,10358762
58,2011,11178837
58,2012,11630283
58,2013,12525515
58,2014,13396645
58,2015,13336030
58,2016,13335766
58,2017,12880696
59,1991,80089274
59,1992,83692713
